	TokenFSS
1176	2674994000000000000000
1177	2715000000000000000000
1178	2699144900000000000000
1179	2665000000000000000000
1180	2654000100000000000000
1181	2645000000000000000000
1182	2604999600000000000000
1183	2511900000000000000000
1184	2487992500000000000000
1185	2564837000000000000000
1186	2570900000000000000000
1187	2508895100000000000000
1188	2442156200000000000000
1189	2492122500000000000000
1190	2484997600000000000000
1191	2559999200000000000000
1192	2544900000000000000000
1193	2549007700000000000000
1194	2605100000000000000000
1195	2592000000000000000000
1196	2536022200000000000000
1197	2550000000000000000000
1198	2554999900000000000000
1199	2564948400000000000000
1200	2522050000000000000000
1201	2540650000000000000000
1202	2557914900000000000000
1203	2578800000000000000000
1204	2554999100000000000000
1205	2608288000000000000000
1206	2596000100000000000000
1207	2632000000000000000000
1208	2611000000000000000000
1209	2670710000000000000000
1210	2673000000000000000000
1211	2645000000000000000000
1212	2655022400000000000000
1213	2702900000000000000000
1214	2676100600000000000000
1215	2678897300000000000000
1216	2643820700000000000000
1217	2625052500000000000000
1218	2610400100000000000000
1219	2619558500000000000000
1220	2618000300000000000000
1221	2555000100000000000000
1222	2575000000000000000000
1223	2574090000000000000000
1224	2615025300000000000000
1225	2611000000000000000000
1226	2607044400000000000000
1227	2625031400000000000000
1228	2616000100000000000000
1229	2643000000000000000000
1230	2618998800000000000000
1231	2613999900000000000000
1232	2599002000000000000000
1233	2605000100000000000000
1234	2585000000000000000000
1235	2575440000000000000000
1236	2579999900000000000000
1237	2583011400000000000000
1238	2613920500000000000000
1239	2622829700000000000000
1240	2609900000000000000000
1241	2586100000000000000000
1242	2595000600000000000000
1243	2596500000000000000000
1244	2640000000000000000000
